
Rank	Name	Title	Country	Rating	Games	B-Year
 94	 Asrian, Karen	 g	 ARM	 2599	 15	 1980
 95	 Eingorn, Vereslav S	 g	 UKR	 2598	 25	 1956
 96	 Rozentalis, Eduardas	 g	 LTU	 2598	 24	 1963
 97	 Andersson, Ulf	 g	 SWE	 2598	 12	 1951
 98	 Hodgson, Julian M.	 g	 ENG	 2598	 6	 1963
 99	 Portisch, Lajos	 g	 HUN	 2596	 16	 1937
 100	 Shulman, Yuri	 g	 BLR	 2596	 15	 1975
 101	 Magomedov, Magaram	 g	 RUS	 2596	 9	 1966
 102	 Kaidanov, Gregory S	 g	 USA	 2596	 8	 1959
 103	 Speelman, Jonathan S.	 g	 ENG	 2596	 8	 1956
 104	 Conquest, Stuart	 g	 ENG	 2596	 7	 1967
