Rank	Name	Title	Country	Rating	Games	B-Year
 1	 Topalov, Veselin	 g	 BUL	 2783	 17	 1975
 2	 Anand, Viswanathan	 g	 IND	 2779	 0	 1969
 3	 Kramnik, Vladimir	 g	 RUS	 2766	 11	 1975
 4	 Mamedyarov, Shakhriyar	 g	 AZE	 2754	 25	 1985
 5	 Ivanchuk, Vassily	 g	 UKR	 2750	 33	 1969
 6	 Leko, Peter	 g	 HUN	 2749	 9	 1979
 7	 Aronian, Levon	 g	 ARM	 2744	 13	 1982
 8	 Morozevich, Alexander	 g	 RUS	 2741	 15	 1977
 9	 Adams, Michael	 g	 ENG	 2735	 0	 1971
 10	 Gelfand, Boris	 g	 ISR	 2733	 19	 1968
 11	 Radjabov, Teimour	 g	 AZE	 2729	 6	 1987
 12	 Svidler, Peter	 g	 RUS	 2728	 28	 1976
 13	 Polgar, Judit	 g	 HUN	 2727	 6	 1976
 14	 Ponomariov, Ruslan	 g	 UKR	 2723	 15	 1983
 15	 Navara, David	 g	 CZE	 2719	 16	 1985
 16	 Grischuk, Alexander	 g	 RUS	 2717	 16	 1983
 17	 Shirov, Alexei	 g	 ESP	 2715	 21	 1972
 18	 Bacrot, Etienne	 g	 FRA	 2705	 0	 1983
 19	 Kamsky, Gata	 g	 USA	 2705	 0	 1974
 20	 Akopian, Vladimir	 g	 ARM	 2700	 15	 1971
 21	 Sasikiran, Krishnan	 g	 IND	 2700	 14	 1981
 22	 Jakovenko, Dmitry	 g	 RUS	 2691	 24	 1983
 23	 Short, Nigel D.	 g	 ENG	 2691	 20	 1965
 24	 Carlsen, Magnus	 g	 NOR	 2690	 11	 1990
 25	 Nisipeanu, Liviu-Dieter	 g	 ROM	 2689	 31	 1976
 26	 Van Wely, Loek	 g	 NED	 2683	 11	 1972
 27	 Tiviakov, Sergei	 g	 NED	 2682	 22	 1973
 28	 Kasimdzhanov, Rustam	 g	 UZB	 2682	 16	 1979
 29	 Vallejo Pons, Francisco	 g	 ESP	 2679	 25	 1982
 30	 Karjakin, Sergey	 g	 UKR	 2678	 6	 1990
 31	 Dominguez, Lenier	 g	 CUB	 2677	 19	 1983
 32	 Rublevsky, Sergei	 g	 RUS	 2677	 13	 1974
 33	 Eljanov, Pavel	 g	 UKR	 2675	 29	 1983
 34	 Harikrishna, P.	 g	 IND	 2673	 15	 1986
 35	 Inarkiev, Ernesto	 g	 RUS	 2669	 34	 1985
 36	 Almasi, Zoltan	 g	 HUN	 2669	 10	 1976
 37	 Milov, Vadim	 g	 SUI	 2665	 8	 1972
 38	 Timofeev, Artyom	 g	 RUS	 2663	 35	 1985
 39	 Malakhov, Vladimir	 g	 RUS	 2663	 21	 1980
 40	 Onischuk, Alexander	 g	 USA	 2663	 18	 1975
 41	 Naiditsch, Arkadij	 g	 GER	 2663	 7	 1985
 42	 Alekseev, Evgeny	 g	 RUS	 2661	 24	 1985
 43	 Georgiev, Kiril	 g	 BUL	 2661	 18	 1965
 44	 Dreev, Alexey	 g	 RUS	 2658	 37	 1969
 45	 Bologan, Viktor	 g	 MDA	 2658	 21	 1971
 46	 Zvjaginsev, Vadim	 g	 RUS	 2658	 13	 1976
 47	 Gashimov, Vugar	 g	 AZE	 2658	 6	 1986
 48	 Sargissian, Gabriel	 g	 ARM	 2658	 6	 1983
 49	 Lautier, Joel	 g	 FRA	 2656	 0	 1973
 50	 Miton, Kamil	 g	 POL	 2655	 28	 1984
 51	 Smirin, Ilia	 g	 ISR	 2654	 26	 1968
 52	 Sokolov, Ivan	 g	 NED	 2652	 6	 1968
 53	 Krasenkow, Michal	 g	 POL	 2651	 16	 1963
 54	 Nielsen, Peter Heine	 g	 DEN	 2651	 10	 1973
