Rank	Name	Title	Country	Rating	Games	B-Year
 1	 Kasparov, Garry	 g	 RUS	 2812	 0	 1963
 2	 Topalov, Veselin	 g	 BUL	 2801	 14	 1975
 3	 Anand, Viswanathan	 g	 IND	 2792	 14	 1969
 4	 Svidler, Peter	 g	 RUS	 2765	 21	 1976
 5	 Aronian, Levon	 g	 ARM	 2752	 33	 1982
 6	 Kramnik, Vladimir	 g	 RUS	 2741	 4	 1975
 7	 Leko, Peter	 g	 HUN	 2740	 14	 1979
 8	 Ivanchuk, Vassily	 g	 UKR	 2729	 34	 1969
 9	 Gelfand, Boris	 g	 ISR	 2723	 33	 1968
 10	 Ponomariov, Ruslan	 g	 UKR	 2723	 19	 1983
 11	 Morozevich, Alexander	 g	 RUS	 2721	 21	 1977
 12	 Grischuk, Alexander	 g	 RUS	 2717	 28	 1983
 13	 Bacrot, Etienne	 g	 FRA	 2717	 20	 1983
 14	 Polgar, Judit	 g	 HUN	 2711	 14	 1976
 15	 Mamedyarov, Shakhriyar	 g	 AZE	 2709	 34	 1985
 16	 Shirov, Alexei	 g	 ESP	 2709	 6	 1972
 17	 Adams, Michael	 g	 ENG	 2707	 14	 1971
 18	 Akopian, Vladimir	 g	 ARM	 2704	 13	 1971
 19	 Radjabov, Teimour	 g	 AZE	 2700	 17	 1987
 20	 Bareev, Evgeny	 g	 RUS	 2698	 29	 1966
 21	 Dreev, Alexey	 g	 RUS	 2697	 30	 1969
 22	 Malakhov, Vladimir	 g	 RUS	 2694	 20	 1980
 23	 Nisipeanu, Liviu-Dieter	 g	 ROM	 2693	 27	 1976
 24	 Sokolov, Ivan	 g	 NED	 2689	 18	 1968
 25	 Kamsky, Gata	 g	 USA	 2686	 20	 1974
 26	 Lautier, Joel	 g	 FRA	 2682	 21	 1973
 27	 Short, Nigel D.	 g	 ENG	 2676	 2	 1965
 28	 Harikrishna, P.	 g	 IND	 2673	 23	 1986
 29	 Karpov, Anatoly	 g	 RUS	 2672	 0	 1951
 30	 Sasikiran, Krishnan	 g	 IND	 2670	 23	 1981
 31	 Areshchenko, Alexander	 g	 UKR	 2670	 15	 1986
 32	 Kasimdzhanov, Rustam	 g	 UZB	 2670	 14	 1979
