Rank	Name	Title	Country	Rating	Games	B-Year
 1	 Topalov, Veselin	 g	 BUL	 2813	 0	 1975
 2	 Anand, Viswanathan	 g	 IND	 2779	 0	 1969
 3	 Kramnik, Vladimir	 g	 RUS	 2750	 7	 1975
 4	 Svidler, Peter	 g	 RUS	 2750	 7	 1976
 5	 Morozevich, Alexander	 g	 RUS	 2747	 10	 1977
 6	 Ivanchuk, Vassily	 g	 UKR	 2741	 12	 1969
 7	 Aronian, Levon	 g	 ARM	 2741	 7	 1982
 8	 Leko, Peter	 g	 HUN	 2741	 7	 1979
 9	 Adams, Michael	 g	 ENG	 2735	 18	 1971
 10	 Gelfand, Boris	 g	 ISR	 2733	 11	 1968
 11	 Radjabov, Teimour	 g	 AZE	 2729	 10	 1987
 12	 Mamedyarov, Shakhriyar	 g	 AZE	 2728	 12	 1985
 13	 Navara, David	 g	 CZE	 2725	 22	 1985
 14	 Shirov, Alexei	 g	 ESP	 2720	 11	 1972
 15	 Akopian, Vladimir	 g	 ARM	 2713	 0	 1971
 16	 Polgar, Judit	 g	 HUN	 2710	 0	 1976
 17	 Grischuk, Alexander	 g	 RUS	 2710	 11	 1983
 18	 Bacrot, Etienne	 g	 FRA	 2705	 1	 1983
 19	 Kamsky, Gata	 g	 USA	 2705	 9	 1974
 20	 Ponomariov, Ruslan	 g	 UKR	 2703	 11	 1983
 21	 Carlsen, Magnus	 g	 NOR	 2698	 46	 1990
 22	 Nisipeanu, Liviu-Dieter	 g	 ROM	 2690	 11	 1976
 23	 Rublevsky, Sergei	 g	 RUS	 2688	 11	 1974
 24	 Bareev, Evgeny	 g	 RUS	 2683	 0	 1966
 25	 Malakhov, Vladimir	 g	 RUS	 2682	 10	 1980
 26	 Georgiev, Kiril	 g	 BUL	 2680	 10	 1965
 27	 Tiviakov, Sergei	 g	 NED	 2680	 47	 1973
 28	 Short, Nigel D.	 g	 ENG	 2677	 9	 1965
 29	 Van Wely, Loek	 g	 NED	 2676	 15	 1972
 30	 Naiditsch, Arkadij	 g	 GER	 2676	 8	 1985
 31	 Sasikiran, Krishnan	 g	 IND	 2675	 0	 1981
 32	 Harikrishna, P.	 g	 IND	 2674	 21	 1986
 33	 Zvjaginsev, Vadim	 g	 RUS	 2674	 10	 1976
 34	 Vallejo Pons, Francisco	 g	 ESP	 2674	 0	 1982
 35	 Karjakin, Sergey	 g	 UKR	 2672	 21	 1990
 36	 Kasimdzhanov, Rustam	 g	 UZB	 2672	 0	 1979
 37	 Bu, Xiangzhi	 g	 CHN	 2671	 22	 1985
 38	 Jakovenko, Dmitry	 g	 RUS	 2671	 22	 1983
 39	 Sokolov, Ivan	 g	 NED	 2670	 22	 1968
 40	 Onischuk, Alexander	 g	 USA	 2668	 0	 1975
 41	 Sargissian, Gabriel	 g	 ARM	 2667	 0	 1983
 42	 Almasi, Zoltan	 g	 HUN	 2664	 10	 1976
 43	 Timofeev, Artyom	 g	 RUS	 2662	 12	 1985
 44	 Motylev, Alexander	 g	 RUS	 2662	 0	 1979
 45	 Bologan, Viktor	 g	 MDA	 2659	 11	 1971
 46	 Smirin, Ilia	 g	 ISR	 2659	 0	 1968
 47	 Eljanov, Pavel	 g	 UKR	 2658	 8	 1983
 48	 Izoria, Zviad	 g	 GEO	 2657	 18	 1984
 49	 Korneev, Oleg	 g	 RUS	 2657	 42	 1969
 50	 Milov, Vadim	 g	 SUI	 2657	 18	 1972
 51	 Lautier, Joel	 g	 FRA	 2656	 14	 1973
