Rank	Name	Title	Country	Rating	Games	B-Year
 1	 Kasparov, Garry	 g	 RUS	 2817	 12	 1963
 2	 Anand, Viswanathan	 g	 IND	 2774	 13	 1969
 3	 Kramnik, Vladimir	 g	 RUS	 2764	 25	 1975
 4	 Leko, Peter	 g	 HUN	 2741	 25	 1979
 5	 Topalov, Veselin	 g	 BUL	 2737	 25	 1975
 6	 Svidler, Peter	 g	 RUS	 2733	 13	 1976
 7	 Morozevich, Alexander	 g	 RUS	 2732	 0	 1977
 8	 Adams, Michael	 g	 ENG	 2731	 13	 1971
 9	 Polgar, Judit	 g	 HUN	 2728	 0	 1976
 10	 Ponomariov, Ruslan	 g	 UKR	 2722	 0	 1983
 11	 Grischuk, Alexander	 g	 RUS	 2719	 0	 1983
 12	 Ivanchuk, Vassily	 g	 UKR	 2716	 0	 1969
 13	 Gelfand, Boris	 g	 ISR	 2714	 10	 1968
 14	 Shirov, Alexei	 g	 ESP	 2713	 25	 1972
 15	 Short, Nigel D.	 g	 ENG	 2712	 19	 1965
 16	 Bareev, Evgeny	 g	 RUS	 2711	 13	 1966
 17	 Malakhov, Vladimir	 g	 RUS	 2695	 9	 1980
 18	 Nisipeanu, Liviu-Dieter	 g	 ROM	 2692	 28	 1976
 19	 Sokolov, Ivan	 g	 NED	 2690	 13	 1968
 20	 Dreev, Alexey	 g	 RUS	 2689	 19	 1969
 21	 Akopian, Vladimir	 g	 ARM	 2689	 13	 1971
 22	 Karpov, Anatoly	 g	 RUS	 2682	 0	 1951
 23	 Ye, Jiangchuan	 g	 CHN	 2681	 0	 1960
 24	 Milov, Vadim	 g	 SUI	 2680	 34	 1972
 25	 Lautier, Joel	 g	 FRA	 2680	 9	 1973
 26	 Azmaiparashvili, Zurab	 g	 GEO	 2679	 0	 1960
 27	 Bacrot, Etienne	 g	 FRA	 2675	 16	 1983
 28	 Smirin, Ilia	 g	 ISR	 2675	 11	 1968
 29	 Gurevich, Mikhail	 g	 BEL	 2672	 19	 1959
 30	 Rublevsky, Sergei	 g	 RUS	 2671	 9	 1974
 31	 Radjabov, Teimour	 g	 AZE	 2670	 12	 1987
 32	 Khalifman, Alexander	 g	 RUS	 2668	 9	 1966
 33	 Aleksandrov, Aleksej	 g	 BLR	 2668	 7	 1973
 34	 Beliavsky, Alexander G	 g	 SLO	 2667	 0	 1953
 35	 Vallejo Pons, Francisco	 g	 ESP	 2666	 12	 1982
 36	 Bologan, Viktor	 g	 MDA	 2665	 28	 1971
 37	 Sakaev, Konstantin	 g	 RUS	 2665	 9	 1974
 38	 Sutovsky, Emil	 g	 ISR	 2661	 16	 1977
 39	 Sasikiran, Krishnan	 g	 IND	 2659	 18	 1981
 40	 Mamedyarov, Shakhriyar	 g	 AZE	 2657	 9	 1985
 41	 Graf, Alexander	 g	 GER	 2656	 18	 1962
 42	 McShane, Luke J.	 g	 ENG	 2656	 7	 1984
 43	 Zvjaginsev, Vadim	 g	 RUS	 2654	 0	 1976
 44	 Kasimdzhanov, Rustam	 g	 UZB	 2652	 0	 1979
 45	 Onischuk, Alexander	 g	 USA	 2652	 0	 1975
 46	 Van Wely, Loek	 g	 NED	 2651	 22	 1972
