Rank	Name	Title	Country	Rating	Games	B-Year
 1	 Carlsen, Magnus	 g	 NOR	 2826	 10	 1990
 2	 Anand, Viswanathan	 g	 IND	 2811	 10	 1969
 3	 Aronian, Levon	 g	 ARM	 2802	 10	 1982
 4	 Kramnik, Vladimir	 g	 RUS	 2800	 6	 1975
 5	 Radjabov, Teimour	 g	 AZE	 2781	 15	 1987
 6	 Ivanchuk, Vassily	 g	 UKR	 2775	 26	 1969
 7	 Topalov, Veselin	 g	 BUL	 2768	 0	 1975
 8	 Karjakin, Sergey	 g	 RUS	 2763	 15	 1990
 9	 Morozevich, Alexander	 g	 RUS	 2762	 17	 1977
 10	 Nakamura, Hikaru	 g	 USA	 2758	 10	 1987
 11	 Gashimov, Vugar	 g	 AZE	 2757	 10	 1986
 12	 Svidler, Peter	 g	 RUS	 2755	 21	 1976
 13	 Grischuk, Alexander	 g	 RUS	 2752	 21	 1983
 14	 Gelfand, Boris	 g	 ISR	 2744	 4	 1968
 15	 Tomashevsky, Evgeny	 g	 RUS	 2740	 22	 1987
 16	 Wang, Hao	 g	 CHN	 2736	 6	 1989
 17	 Adams, Michael	 g	 ENG	 2734	 10	 1971
 18	 Mamedyarov, Shakhriyar	 g	 AZE	 2733	 11	 1985
 19	 Kamsky, Gata	 g	 USA	 2732	 16	 1974
 20	 Nepomniachtchi, Ian	 g	 RUS	 2730	 11	 1990
 21	 Jakovenko, Dmitry	 g	 RUS	 2729	 23	 1983
 22	 Vitiugov, Nikita	 g	 RUS	 2729	 22	 1987
 23	 Caruana, Fabiano	 g	 ITA	 2727	 27	 1992
 24	 Navara, David	 g	 CZE	 2724	 19	 1985
 25	 Ponomariov, Ruslan	 g	 UKR	 2723	 33	 1983
 26	 Leko, Peter	 g	 HUN	 2720	 12	 1979
 27	 Moiseenko, Alexander	 g	 UKR	 2715	 23	 1980
 28	 Le, Quang Liem	 g	 VIE	 2714	 25	 1991
 29	 Bacrot, Etienne	 g	 FRA	 2714	 21	 1983
 30	 Giri, Anish	 g	 NED	 2714	 14	 1994
 31	 Naiditsch, Arkadij	 g	 GER	 2712	 26	 1985
 32	 Dominguez Perez, Leinier	 g	 CUB	 2712	 18	 1983
 33	 Dreev, Aleksey	 g	 RUS	 2710	 23	 1969
 34	 Movsesian, Sergei	 g	 ARM	 2710	 20	 1978
 35	 Polgar, Judit	 g	 HUN	 2710	 16	 1976
 36	 Riazantsev, Alexander	 g	 RUS	 2710	 11	 1985
 37	 Vachier-Lagrave, Maxime	 g	 FRA	 2710	 10	 1990
 38	 Almasi, Zoltan	 g	 HUN	 2707	 4	 1976
 39	 Shirov, Alexei	 g	 ESP	 2705	 22	 1972
 40	 Vallejo Pons, Francisco	 g	 ESP	 2705	 14	 1982
 41	 Wojtaszek, Radoslaw	 g	 POL	 2705	 14	 1987
 42	 Berkes, Ferenc	 g	 HUN	 2705	 10	 1985
 43	 Malakhov, Vladimir	 g	 RUS	 2705	 8	 1980
 44	 Laznicka, Viktor	 g	 CZE	 2703	 22	 1988
 45	 Efimenko, Zahar	 g	 UKR	 2702	 21	 1985
 46	 Li, Chao b	 g	 CHN	 2700	 19	 1989
 47	 Fressinet, Laurent	 g	 FRA	 2700	 5	 1981
 48	 Short, Nigel D	 g	 ENG	 2698	 0	 1965
