Rank	Name	Title	Country	Rating	Games	B-Year
 1	 Kasparov, Garry	 g	 RUS	 2836	 0	 1963
 2	 Kramnik, Vladimir	 g	 RUS	 2809	 0	 1975
 3	 Anand, Viswanathan	 g	 IND	 2755	 0	 1969
 4	 Adams, Michael	 g	 ENG	 2745	 6	 1971
 5	 Topalov, Veselin	 g	 BUL	 2743	 14	 1975
 6	 Leko, Peter	 g	 HUN	 2743	 13	 1979
 7	 Ponomariov, Ruslan	 g	 UKR	 2743	 0	 1983
 8	 Bareev, Evgeny	 g	 RUS	 2737	 10	 1966
 9	 Ivanchuk, Vassily	 g	 UKR	 2709	 2	 1969
 10	 Morozevich, Alexander	 g	 RUS	 2707	 6	 1977
 11	 Gelfand, Boris	 g	 ISR	 2704	 6	 1968
 12	 Grischuk, Alexander	 g	 RUS	 2702	 0	 1983
 13	 Shirov, Alexei	 g	 ESP	 2699	 9	 1972
 14	 Khalifman, Alexander	 g	 RUS	 2690	 0	 1966
 15	 Svidler, Peter	 g	 RUS	 2690	 0	 1976
 16	 Akopian, Vladimir	 g	 ARM	 2689	 0	 1971
 17	 Karpov, Anatoly	 g	 RUS	 2688	 1	 1951
 18	 Polgar, Judit (GM)	 wg	 HUN	 2685	 2	 1976
 19	 Sokolov, Ivan	 g	 NED	 2684	 27	 1968
 20	 Short, Nigel D.	 g	 ENG	 2684	 9	 1965
 21	 Smirin, Ilia	 g	 ISR	 2683	 14	 1968
 22	 Van Wely, Loek	 g	 NED	 2681	 18	 1972
 23	 Zvjaginsev, Vadim	 g	 RUS	 2680	 9	 1976
 24	 Dreev, Alexey	 g	 RUS	 2673	 19	 1969
 25	 Almasi, Zoltan	 g	 HUN	 2672	 0	 1976
 26	 Sasikiran, Krishnan	 g	 IND	 2670	 28	 1981
 27	 Malakhov, Vladimir	 g	 RUS	 2670	 6	 1980
 28	 Vaganian, Rafael A	 g	 ARM	 2667	 9	 1951
 29	 Ye, Jiangchuan	 g	 CHN	 2667	 4	 1960
 30	 Azmaiparashvili, Zurab	 g	 GEO	 2666	 15	 1960
 31	 Lautier, Joel	 g	 FRA	 2665	 0	 1973
 32	 Rublevsky, Sergei	 g	 RUS	 2664	 9	 1974
 33	 Nikolic, Predrag	 g	 BIH	 2661	 0	 1960
 34	 Georgiev, Kiril	 g	 MKD	 2658	 0	 1965
 35	 Sutovsky, Emil	 g	 ISR	 2657	 20	 1977
 36	 Bacrot, Etienne	 g	 FRA	 2653	 0	 1983
 37	 Kasimdzhanov, Rustam	 g	 UZB	 2653	 0	 1979
 38	 Krasenkow, Michal	 g	 POL	 2651	 20	 1963
 39	 Movsesian, Sergei	 g	 SVK	 2651	 16	 1978
 40	 Beliavsky, Alexander G	 g	 SLO	 2650	 27	 1953
 41	 Onischuk, Alexander	 g	 USA	 2649	 33	 1975
 42	 Sakaev, Konstantin	 g	 RUS	 2647	 0	 1974
 43	 Kaidanov, Gregory S	 g	 USA	 2646	 25	 1959
 44	 Piket, Jeroen	 g	 NED	 2646	 0	 1969
